"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年07月06日","2,593.10","2,598.60","2,603.30","2,546.00","9.83K","-0.21%"
"2017年07月05日","2,598.50","2,579.90","2,617.60","2,482.50","13.54K","0.62%"
"2017年07月04日","2,582.60","2,525.90","2,628.00","2,512.40","15.75K","2.32%"
"2017年07月03日","2,524.00","2,445.10","2,584.00","2,416.20","16.14K","3.23%"
"2017年07月02日","2,445.00","2,346.20","2,470.00","2,302.00","12.03K","4.06%"
"2017年07月01日","2,349.50","2,420.60","2,440.90","2,291.00","15.08K","-2.94%"
"2017年06月30日","2,420.70","2,472.40","2,511.10","2,406.60","10.40K","-2.00%"
"2017年06月29日","2,470.10","2,518.20","2,537.00","2,424.10","12.96K","-1.91%"
"2017年06月28日","2,518.20","2,521.30","2,561.10","2,403.20","21.83K","-0.12%"
"2017年06月27日","2,521.20","2,393.50","2,524.00","2,208.10","33.49K","5.29%"
"2017年06月26日","2,394.60","2,480.00","2,510.40","2,258.70","36.37K","-3.35%"
"2017年06月25日","2,477.70","2,502.60","2,595.00","2,369.10","18.13K","-0.99%"
"2017年06月24日","2,502.60","2,674.90","2,700.00","2,454.10","16.77K","-6.44%"
"2017年06月23日","2,674.90","2,672.80","2,725.30","2,652.80","8.14K","0.08%"
"2017年06月22日","2,672.80","2,624.40","2,709.00","2,554.80","15.18K","1.97%"
"2017年06月21日","2,621.20","2,715.30","2,760.00","2,573.30","24.54K","-3.36%"
"2017年06月20日","2,712.20","2,585.00","2,779.60","2,568.20","20.56K","5.09%"
"2017年06月19日","2,580.80","2,494.90","2,592.70","2,481.40","13.71K","3.58%"
"2017年06月18日","2,491.50","2,610.10","2,635.00","2,421.00","19.99K","-4.54%"
"2017年06月17日","2,610.00","2,435.50","2,636.90","2,368.70","16.64K","7.10%"
"2017年06月16日","2,437.00","2,377.50","2,480.00","2,261.20","22.41K","2.51%"
"2017年06月15日","2,377.40","2,394.30","2,455.00","2,050.00","55.83K","-0.74%"
"2017年06月14日","2,395.04","2,677.10","2,720.00","2,284.40","34.71K","-10.51%"
"2017年06月13日","2,676.40","2,570.00","2,730.00","2,532.60","23.18K","4.07%"
"2017年06月12日","2,571.80","2,941.80","2,961.90","2,298.23","48.34K","-12.41%"
"2017年06月11日","2,936.30","2,806.00","3,000.00","2,793.80","19.03K","4.64%"
"2017年06月10日","2,806.00","2,809.90","2,890.50","2,750.80","16.17K","-0.11%"
"2017年06月09日","2,809.00","2,781.50","2,849.80","2,769.60","9.52K","0.97%"
"2017年06月08日","2,782.10","2,642.00","2,789.30","2,570.10","16.98K","5.28%"
"2017年06月07日","2,642.63","2,844.60","2,850.00","2,600.20","22.10K","-7.07%"
"2017年06月06日","2,843.60","2,636.90","2,896.50","2,620.00","42.68K","7.87%"
"2017年06月05日","2,636.20","2,488.20","2,637.50","2,480.00","15.39K","5.95%"
"2017年06月04日","2,488.20","2,461.60","2,498.00","2,376.40","11.88K","1.11%"
"2017年06月03日","2,461.00","2,405.90","2,481.00","2,348.00","10.77K","2.29%"
"2017年06月02日","2,405.88","2,312.00","2,407.80","2,271.90","12.55K","4.08%"
"2017年06月01日","2,311.60","2,191.83","2,366.70","2,187.40","18.96K","5.46%"
"2017年05月31日","2,191.83","2,147.29","2,240.10","2,002.10","21.24K","2.10%"
"2017年05月30日","2,146.70","2,207.40","2,263.10","2,080.40","21.45K","-2.75%"
"2017年05月29日","2,207.40","2,056.90","2,249.80","1,990.10","16.46K","7.33%"
"2017年05月28日","2,056.60","1,980.00","2,193.00","1,955.50","25.78K","4.27%"
"2017年05月27日","1,972.30","2,125.90","2,207.90","1,810.00","47.12K","-7.29%"
"2017年05月26日","2,127.30","2,268.10","2,477.00","2,008.70","39.76K","-5.54%"
"2017年05月25日","2,252.00","2,392.60","2,689.00","2,142.10","55.10K","-5.96%"
"2017年05月24日","2,394.80","2,250.00","2,443.80","2,247.70","29.63K","6.47%"
"2017年05月23日","2,249.30","2,087.50","2,262.90","2,060.00","22.49K","7.85%"
"2017年05月22日","2,085.50","2,026.50","2,219.90","1,979.20","57.24K","2.77%"
"2017年05月21日","2,029.20","2,059.30","2,099.10","2,001.00","17.22K","-1.48%"
"2017年05月20日","2,059.70","1,966.50","2,072.20","1,963.60","21.69K","4.74%"
"2017年05月19日","1,966.50","1,941.50","2,000.00","1,925.00","23.00K","1.29%"
"2017年05月18日","1,941.50","1,870.00","1,949.90","1,861.00","12.91K","3.82%"
"2017年05月17日","1,870.00","1,786.20","1,892.90","1,766.40","15.91K","4.72%"
"2017年05月16日","1,785.70","1,772.00","1,795.10","1,728.00","9.86K","0.74%"
"2017年05月15日","1,772.50","1,826.80","1,828.50","1,720.00","15.76K","-3.04%"
"2017年05月14日","1,828.10","1,820.60","1,852.40","1,780.00","11.31K","0.42%"
"2017年05月13日","1,820.40","1,735.00","1,824.00","1,666.00","16.60K","4.92%"
"2017年05月12日","1,735.00","1,853.90","1,864.80","1,700.80","21.40K","-6.41%"
"2017年05月11日","1,853.90","1,796.90","1,908.00","1,766.60","24.39K","3.18%"
"2017年05月10日","1,796.80","1,759.80","1,817.40","1,722.30","18.62K","2.09%"
"2017年05月09日","1,760.00","1,703.50","1,813.90","1,695.10","31.21K","3.33%"
"2017年05月08日","1,703.20","1,619.80","1,715.00","1,618.90","19.91K","5.14%"
"2017年05月07日","1,619.90","1,597.00","1,631.30","1,575.10","13.91K","1.43%"
"2017年05月06日","1,597.10","1,545.10","1,605.00","1,545.00","14.02K","3.37%"
"2017年05月05日","1,545.10","1,607.20","1,665.50","1,511.70","32.64K","-3.86%"
"2017年05月04日","1,607.10","1,619.40","1,701.90","1,521.10","31.49K","-0.66%"
"2017年05月03日","1,617.80","1,558.50","1,626.90","1,542.00","17.07K","3.71%"
"2017年05月02日","1,560.00","1,533.00","1,604.60","1,479.20","16.73K","1.75%"
"2017年05月01日","1,533.10","1,435.00","1,560.00","1,432.00","22.30K","6.82%"
"2017年04月30日","1,435.20","1,425.40","1,443.50","1,403.30","8.52K","0.81%"
"2017年04月29日","1,423.60","1,415.60","1,436.60","1,401.50","8.77K","0.57%"
"2017年04月28日","1,415.60","1,440.30","1,447.00","1,368.30","14.02K","-1.71%"
