,close,high,low,open,time,volumefrom,volumeto,timestamp
0,36880,39310,36880,37680,1414713600,4.572,178210.67,2014-10-31 09:00:00
1,36090,39000,35620,37510,1414800000,7.112,264884.41,2014-11-01 09:00:00
2,38460,38570,35840,36090,1414886400,4.843,183720.47,2014-11-02 09:00:00
3,35910,38300,35840,35840,1414972800,4.293,160763.9,2014-11-03 09:00:00
4,36490,38300,35910,35910,1415059200,4.509,170174.41,2014-11-04 09:00:00
5,40680,40680,36490,36490,1415145600,4.054,155723.32,2014-11-05 09:00:00
6,39950,45000,38280,40680,1415232000,21.05,872440.15,2014-11-06 09:00:00
7,41510,43340,40020,43340,1415318400,4.232,171746.85,2014-11-07 09:00:00
8,41560,41560,40980,41510,1415404800,0.4223,17403.12,2014-11-08 09:00:00
9,41000,41560,40790,41560,1415491200,0.54,22073.22,2014-11-09 09:00:00
10,42320,42500,41000,41000,1415577600,0.8381,35457.08,2014-11-10 09:00:00
11,43800,43800,42320,42320,1415664000,2.915,125115.88,2014-11-11 09:00:00
12,43800,47500,42910,43800,1415750400,7.053,321540.88,2014-11-12 09:00:00
13,50740,54720,45360,47500,1415836800,7.526,385474.71,2014-11-13 09:00:00
14,48580,49160,44760,45360,1415923200,2.16,102763.39,2014-11-14 09:00:00
15,45310,48580,42820,48580,1416009600,4.865,222288.83,2014-11-15 09:00:00
16,43580,47740,42820,42820,1416096000,2.818,129981.86,2014-11-16 09:00:00
17,47030,49690,43580,43580,1416182400,8.914,424114.89,2014-11-17 09:00:00
18,47520,48600,45910,47030,1416268800,6.627,311675.17,2014-11-18 09:00:00
19,47000,48210,44520,45910,1416355200,6.562,305308.48,2014-11-19 09:00:00
20,44730,47240,44230,44520,1416441600,4.067,184405.6,2014-11-20 09:00:00
21,43950,44830,42760,44730,1416528000,4.661,204720.06,2014-11-21 09:00:00
22,43980,44490,43100,43950,1416614400,1.172,51589.92,2014-11-22 09:00:00
23,44530,44840,43100,44490,1416700800,1.466,63739.09,2014-11-23 09:00:00
24,45980,45980,43100,44530,1416787200,3.976,175494.41,2014-11-24 09:00:00
25,45130,48770,43960,45980,1416873600,9.418,441501.39,2014-11-25 09:00:00
26,44000,47130,44000,45230,1416960000,3.034,138213.85,2014-11-26 09:00:00
27,45530,46790,44000,44000,1417046400,6.46,294296.16,2014-11-27 09:00:00
28,45270,46020,44010,44010,1417132800,3.42,155974.57,2014-11-28 09:00:00
29,44890,46150,44760,45270,1417219200,1.378,62419.51,2014-11-29 09:00:00
30,44920,47130,44890,44890,1417305600,5.836,265511.75,2014-11-30 09:00:00
31,45320,47830,45320,47000,1417392000,4.992,231564.04,2014-12-01 09:00:00
32,45690,47520,45320,45320,1417478400,6.128,284015.21,2014-12-02 09:00:00
33,46640,48190,45690,45690,1417564800,5.506,260188.99,2014-12-03 09:00:00
34,46500,54980,45900,46440,1417651200,11.81,553597.62,2014-12-04 09:00:00
35,46720,48340,45000,46500,1417737600,2.26,105474.8,2014-12-05 09:00:00
36,46990,47600,45910,46720,1417824000,1.931,90080.2,2014-12-06 09:00:00
37,46500,46990,46500,46990,1417910400,1.552,72193.62,2014-12-07 09:00:00
38,45820,48190,45640,46500,1417996800,8.473,396699.57,2014-12-08 09:00:00
39,43100,46490,43100,45870,1418083200,3.418,155130.92,2014-12-09 09:00:00
40,44620,53000,41590,43100,1418169600,79.22,3457928.95,2014-12-10 09:00:00
41,44630,45480,42210,42920,1418256000,116.58,5126707.96,2014-12-11 09:00:00
42,45740,45740,41965,44930,1418342400,117.11,5176839.66,2014-12-12 09:00:00
43,44940,46999,42030,44940,1418428800,123.13,5435159.71,2014-12-13 09:00:00
44,43170,46999,42160,46999,1418515200,15.42,673765.48,2014-12-14 09:00:00
45,43460,43980,43170,43460,1418601600,3.944,171014.84,2014-12-15 09:00:00
46,40900,43320,40300,43290,1418688000,4.194,175949.85,2014-12-16 09:00:00
47,39150,42900,37790,40300,1418774400,5.099,198285.06,2014-12-17 09:00:00
48,39180,43350,37500,39150,1418860800,8.796,347062.24,2014-12-18 09:00:00
49,40080,40280,38450,39180,1418947200,5.904,232313.09,2014-12-19 09:00:00
50,40120,40330,38560,40080,1419033600,9.892,391242.13,2014-12-20 09:00:00
51,40400,41110,39080,40330,1419120000,11.41,459779.4,2014-12-21 09:00:00
52,41390,41620,38990,40400,1419206400,7.678,312962.79,2014-12-22 09:00:00
53,41210,42150,41210,41390,1419292800,2.815,116592.18,2014-12-23 09:00:00
54,41900,42000,40500,41210,1419379200,11.87,492273.6,2014-12-24 09:00:00
55,40110,41226,39750,41226,1419465600,5.159,207144.2,2014-12-25 09:00:00
56,41130,41130,40110,40110,1419552000,5.679,229635.04,2014-12-26 09:00:00
57,40820,41510,39600,40520,1419638400,6.215,254940.7,2014-12-27 09:00:00
58,39420,40820,38540,40820,1419724800,3.009,118168.78,2014-12-28 09:00:00
59,39060,39860,38000,39420,1419811200,3.657,143716.47,2014-12-29 09:00:00
60,38840,39890,37970,39060,1419897600,3.805,148828.77,2014-12-30 09:00:00
61,38070,38890,38070,38870,1419984000,1.468,56841.96,2014-12-31 09:00:00
62,38070,38070,38070,38070,1420070400,0.0,0.0,2015-01-01 09:00:00
63,39730,39730,38000,38070,1420156800,6.098,234792.68,2015-01-02 09:00:00
64,36700,39730,36700,39730,1420243200,10.73,413399.49,2015-01-03 09:00:00
65,33930,36700,32700,36700,1420329600,4.653,158687.15,2015-01-04 09:00:00
66,37740,38030,32700,32700,1420416000,19.95,705410.39,2015-01-05 09:00:00
67,33850,36970,33800,35020,1420502400,7.561,266557.92,2015-01-06 09:00:00
68,35570,35890,33850,33850,1420588800,7.161,252347.35,2015-01-07 09:00:00
69,35800,35800,35190,35710,1420675200,4.466,157863.05,2015-01-08 09:00:00
70,34930,35800,33990,35800,1420761600,19.79,684292.99,2015-01-09 09:00:00
71,33400,35120,33000,34930,1420848000,23.46,803263.66,2015-01-10 09:00:00
72,32990,33470,32430,33370,1420934400,20.29,668657.99,2015-01-11 09:00:00
73,32300,32840,32300,32810,1421020800,3.876,126212.04,2015-01-12 09:00:00
74,28020,34340,28020,32300,1421107200,14.46,447470.16,2015-01-13 09:00:00
75,21450,28940,21450,28940,1421193600,32.04,799528.53,2015-01-14 09:00:00
76,25210,26570,21450,21450,1421280000,30.62,732324.67,2015-01-15 09:00:00
77,25390,26800,25090,26070,1421366400,28.27,730273.76,2015-01-16 09:00:00
78,24270,25390,24100,25390,1421452800,19.63,483057.55,2015-01-17 09:00:00
79,25880,25980,24180,24270,1421539200,16.89,417581.87,2015-01-18 09:00:00
80,24620,25850,24100,24620,1421625600,33.53,839596.3,2015-01-19 09:00:00
81,24740,25360,24400,24970,1421712000,25.06,625394.67,2015-01-20 09:00:00
82,26840,26840,24900,25040,1421798400,11.11,280371.57,2015-01-21 09:00:00
83,28360,28390,26800,26840,1421884800,26.58,744624.32,2015-01-22 09:00:00
84,27550,28250,26760,27850,1421971200,29.08,799734.17,2015-01-23 09:00:00
85,29650,29650,27500,27550,1422057600,4.603,130651.72,2015-01-24 09:00:00
86,29950,30170,29020,29680,1422144000,28.87,859395.3,2015-01-25 09:00:00
87,34990,36320,29860,30130,1422230400,106.94,3667547.59,2015-01-26 09:00:00
88,30770,32530,30000,32340,1422316800,80.82,2512401.28,2015-01-27 09:00:00
89,29320,32100,29320,31290,1422403200,74.02,2318629.54,2015-01-28 09:00:00
90,28580,29690,27120,29320,1422489600,66.08,1897683.62,2015-01-29 09:00:00
91,28150,29170,27120,28200,1422576000,96.69,2725506.36,2015-01-30 09:00:00
92,27000,28240,26940,28140,1422662400,51.7,1422823.45,2015-01-31 09:00:00
93,25390,27850,25390,27000,1422748800,73.93,1918953.89,2015-02-01 09:00:00
94,28050,28250,26630,27850,1422835200,50.21,1377903.71,2015-02-02 09:00:00
95,28830,29100,27250,28050,1422921600,58.62,1676846.72,2015-02-03 09:00:00
96,26730,27930,26130,27480,1423008000,82.55,2234169.23,2015-02-04 09:00:00
97,26060,27290,25710,26130,1423094400,77.66,2063724.37,2015-02-05 09:00:00
98,26110,27100,25880,26060,1423180800,63.82,1682588.92,2015-02-06 09:00:00
99,27650,27659,26230,26550,1423267200,57.02,1534819.21,2015-02-07 09:00:00
100,27500,27500,26710,27270,1423353600,50.07,1358131.5,2015-02-08 09:00:00
101,27010,27140,26400,26830,1423440000,116.14,3087700.56,2015-02-09 09:00:00
102,26920,26950,26030,26930,1423526400,74.75,1969861.65,2015-02-10 09:00:00
103,26480,27181,26480,26920,1423612800,70.01,1880723.75,2015-02-11 09:00:00
104,26700,27030,26350,26880,1423699200,127.91,3409741.25,2015-02-12 09:00:00
105,28790,28790,26420,26980,1423785600,89.94,2479936.6,2015-02-13 09:00:00
106,30000,30100,28230,28650,1423872000,55.87,1639646.56,2015-02-14 09:00:00
107,29790,31150,29000,29610,1423958400,87.82,2672587.23,2015-02-15 09:00:00
108,28600,29790,27510,29790,1424044800,188.72,5322741.66,2015-02-16 09:00:00
109,28550,29114,28000,28600,1424131200,92.11,2606501.23,2015-02-17 09:00:00
110,28640,28990,28320,28930,1424217600,71.14,2038558.51,2015-02-18 09:00:00
111,28050,28430,27690,28430,1424304000,136.52,3851786.44,2015-02-19 09:00:00
112,28900,29450,28050,28050,1424390400,62.49,1803968.9,2015-02-20 09:00:00
113,29101,29360,28670,29200,1424476800,62.3,1805474.49,2015-02-21 09:00:00
114,28440,29480,28420,28730,1424563200,47.11,1362232.08,2015-02-22 09:00:00
115,28540,28550,28002,28440,1424649600,59.37,1679163.39,2015-02-23 09:00:00
116,28500,28830,28135,28540,1424736000,78.25,2225254.52,2015-02-24 09:00:00
117,28470,28630,28100,28400,1424822400,117.33,3332644.0,2015-02-25 09:00:00
118,28390,28499,28180,28499,1424908800,61.07,1731774.14,2015-02-26 09:00:00
119,30580,30930,28200,28415,1424995200,138.77,4110187.7,2015-02-27 09:00:00
